ts_micro,frame,wheel
1464650200019247,0,0.5
1464650200052581,1,0.5
1464650200085914,2,0.5
1464650200119247,3,0.5
1464650200152581,4,0.5
1464650200185914,5,0.5
1464650200219247,6,0.5
1464650200252581,7,0.5
1464650200285914,8,0.5
1464650200319247,9,0.5
1464650200352581,10,0.5
1464650200385914,11,0.5
1464650200419247,12,0.5
1464650200452581,13,0.5
1464650200485914,14,0.5
1464650200519247,15,0.5
1464650200552581,16,0.5
1464650200585914,17,0.5
1464650200619247,18,0.5
1464650200652581,19,0.5
1464650200685914,20,0.5
1464650200719247,21,0.5
1464650200752581,22,0.5
1464650200785914,23,0.5
1464650200819247,24,0.5
1464650200852581,25,0.5
1464650200885914,26,0.5
1464650200919247,27,0.5
1464650200952581,28,0.5
1464650200985914,29,0.5
1464650201019247,30,0.5
1464650201052581,31,0.5
1464650201085914,32,0.5
1464650201119247,33,0.5
1464650201152581,34,0.5
1464650201185914,35,0.5
1464650201219247,36,0.5
1464650201252581,37,0.5
1464650201285914,38,0.5
1464650201319247,39,0.5
1464650201352581,40,0.5
1464650201385914,41,0.5
1464650201419247,42,0.5
1464650201452581,43,0.5
1464650201485914,44,0.5
1464650201519247,45,0.5
1464650201552581,46,0.5
1464650201585914,47,0.5
1464650201619247,48,0.5
1464650201652581,49,0.5
1464650201685914,50,0.5
1464650201719247,51,1
1464650201752581,52,1
1464650201785914,53,1
1464650201819247,54,1
1464650201852581,55,1
1464650201885914,56,1
1464650201919247,57,1
1464650201952581,58,1
1464650201985914,59,1
1464650202019247,60,1
1464650202052581,61,1
1464650202085914,62,1
1464650202119247,63,1
1464650202152581,64,1
1464650202185914,65,0.5
1464650202219247,66,0.5
1464650202252581,67,0.5
1464650202285914,68,0.5
1464650202319247,69,0.5
1464650202352581,70,0.5
1464650202385914,71,0.5
1464650202419247,72,0.5
1464650202452581,73,0.5
1464650202485914,74,0.5
1464650202519247,75,0.5
1464650202552581,76,0.5
1464650202585914,77,0.5
1464650202619247,78,0.5
1464650202652581,79,0.5
1464650202685914,80,0
1464650202719247,81,0
1464650202752581,82,0
1464650202785914,83,0
1464650202819247,84,0
1464650202852581,85,0
1464650202885914,86,0
1464650202919247,87,0
1464650202952581,88,0
1464650202985914,89,0
1464650203019247,90,0
1464650203052581,91,0
1464650203085914,92,0
1464650203119247,93,0
1464650203152581,94,0
1464650203185914,95,0
1464650203219247,96,0
1464650203252581,97,0
1464650203285914,98,0
1464650203319247,99,0
1464650203352581,100,0
1464650203385914,101,0
1464650203419247,102,0
1464650203452581,103,0
1464650203485914,104,0
1464650203519247,105,0
1464650203552581,106,0
1464650203585914,107,0
1464650203619247,108,0
1464650203652581,109,0
1464650203685914,110,0
1464650203719247,111,0
1464650203752581,112,0
1464650203785914,113,0.5
1464650203819247,114,0.5
1464650203852581,115,0.5
1464650203885914,116,0.5
1464650203919247,117,0.5
1464650203952581,118,0.5
1464650203985914,119,0.5
1464650204019247,120,0.5
1464650204052581,121,0.5
1464650204085914,122,0.5
1464650204119247,123,0.5
1464650204152581,124,0.5
1464650204185914,125,0.5
1464650204219247,126,0.5
1464650204252581,127,0.5
1464650204285914,128,0.5
1464650204319247,129,0.5
1464650204352581,130,0.5
1464650204385914,131,0.5
1464650204419247,132,0.5
1464650204452581,133,1
1464650204485914,134,1
1464650204519247,135,1
1464650204552581,136,1
1464650204585914,137,1
1464650204619247,138,1
1464650204652581,139,1
1464650204685914,140,1
1464650204719247,141,1
1464650204752581,142,1
1464650204785914,143,1
1464650204819247,144,1
1464650204852581,145,1
1464650204885914,146,1
1464650204919247,147,1
1464650204952581,148,1
1464650204985914,149,0.5
1464650205019247,150,0.5
1464650205052581,151,0.5
1464650205085914,152,0.5
1464650205119247,153,0.5
1464650205152581,154,0.5
1464650205185914,155,0.5
1464650205219247,156,0.5
1464650205252581,157,0.5
1464650205285914,158,0.5
1464650205319247,159,0.5
1464650205352581,160,0.5
1464650205385914,161,0.5
1464650205419247,162,0.5
1464650205452581,163,0.5
1464650205485914,164,0.5
1464650205519247,165,0.5
1464650205552581,166,0.5
1464650205585914,167,0.5
1464650205619247,168,0.5
1464650205652581,169,0.5
1464650205685914,170,0.5
1464650205719247,171,0.5
1464650205752581,172,0.5
1464650205785914,173,0.5
1464650205819247,174,0.5
1464650205852581,175,0.5
1464650205885914,176,0.5
1464650205919247,177,0.5
1464650205952581,178,0.5
1464650205985914,179,0
1464650206019247,180,0
1464650206052581,181,0
1464650206085914,182,0
1464650206119247,183,0
1464650206152581,184,0
1464650206185914,185,0
1464650206219247,186,0
1464650206252581,187,0
1464650206285914,188,0
1464650206319247,189,0
1464650206352581,190,0
1464650206385914,191,0
1464650206419247,192,0
1464650206452581,193,0.5
1464650206485914,194,0.5
1464650206519247,195,0.5
1464650206552581,196,0.5
1464650206585914,197,0.5
1464650206619247,198,0.5
1464650206652581,199,0.5
1464650206685914,200,0.5
1464650206719247,201,0.5
1464650206752581,202,0.5
1464650206785914,203,0.5
1464650206819247,204,0.5
1464650206852581,205,0.5
1464650206885914,206,0.5
1464650206919247,207,0.5
1464650206952581,208,0.5
1464650206985914,209,0.5
1464650207019247,210,0.5
1464650207052581,211,0.5
1464650207085914,212,0.5
1464650207119247,213,0.5
1464650207152581,214,0.5
1464650207185914,215,0.5
1464650207219247,216,0.5
1464650207252581,217,0.5
1464650207285914,218,0.5
1464650207319247,219,0.5
1464650207352581,220,0.5
1464650207385914,221,0.5
1464650207419247,222,0.5
1464650207452581,223,0.5
1464650207485914,224,0.5
1464650207519247,225,0.5
1464650207552581,226,0.5
1464650207585914,227,0.5
1464650207619247,228,0.5
1464650207652581,229,0.5
1464650207685914,230,0.5
1464650207719247,231,0.5
1464650207752581,232,0.5
1464650207785914,233,0.5
1464650207819247,234,0.5
1464650207852581,235,0.5
1464650207885914,236,0.5
1464650207919247,237,0.5
1464650207952581,238,0.5
1464650207985914,239,0.5
1464650208019247,240,0
1464650208052581,241,0
1464650208085914,242,0
1464650208119247,243,0
1464650208152581,244,0
1464650208185914,245,0
1464650208219247,246,0
1464650208252581,247,0
1464650208285914,248,0
1464650208319247,249,0
1464650208352581,250,0
1464650208385914,251,0
1464650208419247,252,0
1464650208452581,253,0
1464650208485914,254,0
1464650208519247,255,0
1464650208552581,256,0
1464650208585914,257,0
1464650208619247,258,0
1464650208652581,259,0
1464650208685914,260,0
1464650208719247,261,0
1464650208752581,262,0
1464650208785914,263,0
1464650208819247,264,0
1464650208852581,265,0
1464650208885914,266,0
1464650208919247,267,0.5
1464650208952581,268,0.5
1464650208985914,269,0.5
1464650209019247,270,0.5
1464650209052581,271,0.5
1464650209085914,272,0.5
1464650209119247,273,0.5
1464650209152581,274,0.5
1464650209185914,275,1
1464650209219247,276,1
1464650209252581,277,1
1464650209285914,278,1
1464650209319247,279,1
1464650209352581,280,1
1464650209385914,281,1
1464650209419247,282,1
1464650209452581,283,1
1464650209485914,284,1
1464650209519247,285,1
1464650209552581,286,1
1464650209585914,287,1
1464650209619247,288,0.5
1464650209652581,289,0.5
1464650209685914,290,0.5
1464650209719247,291,0.5
1464650209752581,292,0.5
1464650209785914,293,0.5
1464650209819247,294,0
1464650209852581,295,0
1464650209885914,296,0
1464650209919247,297,0
1464650209952581,298,0
1464650209985914,299,0
1464650210019247,300,0
1464650210052581,301,0
1464650210085914,302,0
1464650210119247,303,0
1464650210152581,304,0
1464650210185914,305,0
1464650210219247,306,0
1464650210252581,307,0
1464650210285914,308,0
1464650210319247,309,0
1464650210352581,310,0
1464650210385914,311,0
1464650210419247,312,0
1464650210452581,313,0
1464650210485914,314,0
1464650210519247,315,0
1464650210552581,316,0
1464650210585914,317,0
1464650210619247,318,0
1464650210652581,319,0
1464650210685914,320,0
1464650210719247,321,0
1464650210752581,322,0.5
1464650210785914,323,0.5
1464650210819247,324,0.5
1464650210852581,325,0.5
1464650210885914,326,0.5
1464650210919247,327,0.5
1464650210952581,328,0.5
1464650210985914,329,0.5
