ts_micro,frame_index,wheel
1464305394391807,0,-0.5
1464305394425141,1,-0.5
1464305394458474,2,-0.5
1464305394491807,3,-0.5
1464305394525141,4,-0.5
1464305394558474,5,-0.5
1464305394591807,6,-0.5
1464305394625141,7,-0.5
1464305394658474,8,-0.5
1464305394691807,9,-0.5
1464305394725141,10,-0.5
1464305394758474,11,-0.5
1464305394791807,12,-0.5
1464305394825141,13,-0.5
1464305394858474,14,-0.5
1464305394891807,15,-0.5
1464305394925141,16,-0.5
1464305394958474,17,-0.5
1464305394991807,18,-0.5
1464305395025141,19,-0.5
1464305395058474,20,-0.5
1464305395091807,21,-0.5
1464305395125141,22,-0.5
1464305395158474,23,-0.5
1464305395191807,24,-0.5
1464305395225141,25,-0.5
1464305395258474,26,-0.5
1464305395291807,27,-0.5
1464305395325141,28,-0.5
1464305395358474,29,-0.5
1464305395391807,30,-0.5
1464305395425141,31,-0.5
1464305395458474,32,-0.5
1464305395491807,33,-0.5
1464305395525141,34,-0.5
1464305395558474,35,-0.5
1464305395591807,36,-0.5
1464305395625141,37,-1
1464305395658474,38,-1
1464305395691807,39,-1
1464305395725141,40,-1
1464305395758474,41,-1
1464305395791807,42,-1
1464305395825141,43,-1
1464305395858474,44,-1
1464305395891807,45,-1
1464305395925141,46,-1
1464305395958474,47,-1
1464305395991807,48,-1.5
1464305396025141,49,-1.5
1464305396058474,50,-1.5
1464305396091807,51,-1.5
1464305396125141,52,-1.5
1464305396158474,53,-1.5
1464305396191807,54,-1.5
1464305396225141,55,-1.5
1464305396258474,56,-1.5
1464305396291807,57,-1.5
1464305396325141,58,-1.5
1464305396358474,59,-1.5
1464305396391807,60,-1.5
1464305396425141,61,-1.5
1464305396458474,62,-1.5
1464305396491807,63,-1.5
1464305396525141,64,-2
1464305396558474,65,-2
1464305396591807,66,-2
1464305396625141,67,-2
1464305396658474,68,-2
1464305396691807,69,-2
1464305396725141,70,-2.5
1464305396758474,71,-2.5
1464305396791807,72,-2.5
1464305396825141,73,-2.5
1464305396858474,74,-2.5
1464305396891807,75,-2.5
1464305396925141,76,-2.5
1464305396958474,77,-2.5
1464305396991807,78,-2
1464305397025141,79,-2
1464305397058474,80,-2
1464305397091807,81,-2
1464305397125141,82,-2
1464305397158474,83,-2.5
1464305397191807,84,-2.5
1464305397225141,85,-2.5
1464305397258474,86,-2.5
1464305397291807,87,-2.5
1464305397325141,88,-2.5
1464305397358474,89,-2.5
1464305397391807,90,-2.5
1464305397425141,91,-2.5
1464305397458474,92,-2.5
1464305397491807,93,-2.5
1464305397525141,94,-2.5
1464305397558474,95,-2.5
1464305397591807,96,-2.5
1464305397625141,97,-3
1464305397658474,98,-3
1464305397691807,99,-3
1464305397725141,100,-3
1464305397758474,101,-3
1464305397791807,102,-3
1464305397825141,103,-3
1464305397858474,104,-3
1464305397891807,105,-3
1464305397925141,106,-3
1464305397958474,107,-3
1464305397991807,108,-3
1464305398025141,109,-3
1464305398058474,110,-3
1464305398091807,111,-3
1464305398125141,112,-3
1464305398158474,113,-3
1464305398191807,114,-3
1464305398225141,115,-3
1464305398258474,116,-3
1464305398291807,117,-3
1464305398325141,118,-3
1464305398358474,119,-3
1464305398391807,120,-3
1464305398425141,121,-3
1464305398458474,122,-3
1464305398491807,123,-3
1464305398525141,124,-3
1464305398558474,125,-3
1464305398591807,126,-3
1464305398625141,127,-3
1464305398658474,128,-3
1464305398691807,129,-3
1464305398725141,130,-3
1464305398758474,131,-3
1464305398791807,132,-3
1464305398825141,133,-3
1464305398858474,134,-3
1464305398891807,135,-3
1464305398925141,136,-3
1464305398958474,137,-2.5
1464305398991807,138,-2.5
1464305399025141,139,-2.5
1464305399058474,140,-2.5
1464305399091807,141,-2.5
1464305399125141,142,-2.5
1464305399158474,143,-2.5
1464305399191807,144,-2.5
1464305399225141,145,-2.5
1464305399258474,146,-2.5
1464305399291807,147,-2.5
1464305399325141,148,-2.5
1464305399358474,149,-2.5
1464305399391807,150,-2.5
1464305399425141,151,-2.5
1464305399458474,152,-2.5
1464305399491807,153,-2.5
1464305399525141,154,-2.5
1464305399558474,155,-2.5
1464305399591807,156,-2.5
1464305399625141,157,-2.5
1464305399658474,158,-2
1464305399691807,159,-2
1464305399725141,160,-2
1464305399758474,161,-2
1464305399791807,162,-2
1464305399825141,163,-2
1464305399858474,164,-2
1464305399891807,165,-2
1464305399925141,166,-2
1464305399958474,167,-2
1464305399991807,168,-1.5
1464305400025141,169,-1.5
1464305400058474,170,-1.5
1464305400091807,171,-1
1464305400125141,172,-1
1464305400158474,173,-0.5
1464305400191807,174,-0.5
1464305400225141,175,-1
1464305400258474,176,-1
1464305400291807,177,-0.5
1464305400325141,178,-0.5
1464305400358474,179,-0.5
1464305400391807,180,-0.5
1464305400425141,181,-0.5
1464305400458474,182,-0.5
1464305400491807,183,-0.5
1464305400525141,184,-1
1464305400558474,185,-1
1464305400591807,186,-1
1464305400625141,187,-1
1464305400658474,188,-1
1464305400691807,189,-1.5
1464305400725141,190,-1.5
1464305400758474,191,-2
1464305400791807,192,-2.5
1464305400825141,193,-2.5
1464305400858474,194,-2.5
1464305400891807,195,-2.5
1464305400925141,196,-2.5
1464305400958474,197,-2.5
1464305400991807,198,-3
1464305401025141,199,-3
1464305401058474,200,-3.5
1464305401091807,201,-3.5
1464305401125141,202,-3.5
1464305401158474,203,-3.5
1464305401191807,204,-3.5
1464305401225141,205,-3.5
1464305401258474,206,-3.5
1464305401291807,207,-3.5
1464305401325141,208,-3.5
1464305401358474,209,-3.5
1464305401391807,210,-3.5
1464305401425141,211,-3.5
1464305401458474,212,-3.5
1464305401491807,213,-3.5
1464305401525141,214,-3.5
1464305401558474,215,-3.5
1464305401591807,216,-3.5
1464305401625141,217,-3.5
1464305401658474,218,-3.5
1464305401691807,219,-3.5
1464305401725141,220,-3.5
1464305401758474,221,-3.5
1464305401791807,222,-3.5
1464305401825141,223,-3.5
1464305401858474,224,-3.5
1464305401891807,225,-3.5
1464305401925141,226,-3.5
1464305401958474,227,-3.5
1464305401991807,228,-3.5
1464305402025141,229,-3.5
1464305402058474,230,-3.5
1464305402091807,231,-3.5
1464305402125141,232,-3.5
1464305402158474,233,-3.5
1464305402191807,234,-3.5
1464305402225141,235,-3.5
1464305402258474,236,-3.5
1464305402291807,237,-3.5
1464305402325141,238,-3.5
1464305402358474,239,-3.5
1464305402391807,240,-3.5
